year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2036,5131.049884474722,43444.57010077812,22335.776188806256,258160.5914615147,123808.86674187821,452880.854377452,457012.39143645496,น่าน,0.6145694084068607
2037,4715.314725721849,42537.530765848685,20276.108833576734,256396.79459414494,127568.33236258688,451494.0812818791,455758.9362921623,น่าน,0.6318695314513438
2038,4299.579566968975,41630.49143091926,18216.441478347217,254632.99772677518,131327.79798329555,450107.30818630615,454505.4811478696,น่าน,0.6496545109184744
2039,3883.8444082161013,40723.45209598984,16156.774123117699,252869.20085940545,135087.26360400423,448720.5350907333,453252.02600357693,น่าน,0.6679450195093011
2040,3468.1092494632285,39816.412761060405,14097.106767888181,251105.4039920357,138846.72922471288,447333.76199516037,451998.57085928426,น่าน,0.6867629220905527
2041,3052.3740907103547,38909.37342613098,12037.439412658656,249341.60712466593,142606.1948454216,445946.98889958754,450745.1157149916,น่าน,0.7061313628898974
2042,2636.638931957481,38002.334091201556,9977.772057429138,247577.8102572962,146365.66046613024,444560.2158040146,449491.6605706989,น่าน,0.7260748604577909
2043,2220.903773204607,37095.294756272124,7918.10470219962,245814.01338992643,150125.12608683892,443173.44270844175,448238.20542640623,น่าน,0.7466194112151484
2044,1805.1686144517334,36188.2554213427,5858.437346970102,244050.2165225567,153884.5917075476,441786.66961286886,446984.75028211356,น่าน,0.7677926025063478
2045,1389.4334556988615,35281.216086413275,3798.7699917405844,242286.41965518694,157644.05732825625,440399.8965172959,445731.2951378209,น่าน,0.7896237361913685
2046,973.6982969459877,34374.17675148384,1739.1026365110665,240522.6227878172,161403.52294896494,439013.123421723,444477.8399935282,น่าน,0.8121439639413908
2047,557.963138193114,33467.13741655442,0.0,238758.82592044745,165162.98856967362,437626.35032615013,443224.3848492356,น่าน,0.8342648208145782
2048,142.22797944024023,32560.09808162499,0.0,236995.02905307768,168922.45419038227,436239.5772305772,441970.9297049429,น่าน,0.8507553135483334
2049,0.0,31653.058746695562,0.0,235231.23218570795,172681.91981109095,434852.8041350043,440717.47456065024,น่าน,0.8686558186137043
2050,0.0,30746.019411766138,0.0,233467.4353183382,176441.38543179963,433466.03103943146,439464.01941635757,น่าน,0.8874359910668527
2013,12283.545721744624,54716.30422136265,75865.50617887682,292160.34527137654,44962.69638515234,479988.39777851297,485933.0352044104,พะเยา,0.3042246784758645
2014,12195.106152436125,54008.12299878974,72880.6642007496,292546.3221862101,47248.27008903971,478878.48562722525,483841.042922484,พะเยา,0.310462837903627
2015,11854.20762166786,53142.01975692682,70174.47636103079,291567.66232283105,49992.77383292764,476731.13989538414,481660.0137253901,พะเยา,0.3178756050646755
2016,11288.79455946887,52517.71830712286,66510.58689443939,291688.99034644314,52810.9731040057,474817.0632114799,479786.497028074,พะเยา,0.32556567170980866
2017,10897.925285395684,51906.875611328695,61849.39665700158,291390.15283501986,55403.23593131059,471447.5863200564,476839.96607246087,พะเยา,0.3346398697371935
2018,10577.063091971368,51486.55702281663,58075.974574293745,289974.88696974906,58975.631030903794,469090.11268973455,474470.9703257024,พะเยา,0.34776311315171193
2019,10402.987725970668,50919.36073143157,54657.83754980803,288960.9324275708,62196.592627201506,467137.7110619826,472466.7679806191,พะเยา,0.3594650580139591
2020,10016.491566763441,49968.35841793734,51812.84788087283,285910.62746034557,65687.5938117291,463395.9191376483,469897.2636737248,พะเยา,0.3721163998725789
2021,9469.60067050751,49218.89022990189,49460.815479137855,282904.52868863737,70371.3065632617,461425.1416314464,465574.2947405505,พะเยา,0.38830702336559736
2022,8717.720356626756,48423.5805356601,46791.09015240612,279987.83944879466,74447.20644739809,458367.43694088573,462142.0865973194,พะเยา,0.4026835741835461
2023,8067.41117384358,47396.248796140375,44816.024287012195,276276.7083058962,78075.29168882305,454631.68425171543,458897.0579917525,พะเยา,0.41588905043239316
2024,7545.529097923927,46644.25855496795,41722.65828700538,273116.5816899662,81880.8729473142,450909.90057717764,456116.2438095999,พะเยา,0.4321909194360867
2025,7023.647022004274,45892.26831379553,38629.29228699857,269956.45507403614,85686.45420580535,447188.11690263986,453335.4296274473,พะเยา,0.44915350344889754
2026,6501.7649460846205,45140.278072623114,35535.92628699176,266796.32845810615,89492.03546429648,443466.33322810207,450554.61544529465,พะเยา,0.4668178015011897
2027,5979.882870164967,44388.287831450696,32442.560286984946,263636.20184217615,93297.61672278763,439744.5495535644,447773.8012631421,พะเยา,0.48522827639265353
2028,5458.000794245315,43636.29759027827,29349.19428697813,260476.07522624615,97103.19798127878,436022.7658790266,444992.98708098946,พะเยา,0.5044332283770433
2029,4936.118718325662,42884.30734910585,26255.82828697132,257315.94861031615,100908.77923976992,432300.9822044889,442212.17289883684,พะเยา,0.5244852182912146
2030,4414.236642406008,42132.317107933435,23162.462286964506,254155.82199438612,104714.36049826106,428579.19852995116,439431.3587166842,พะเยา,0.5454415479332051
2031,3892.354566486355,41380.32686676101,20069.096286957694,250995.69537845612,108519.9417567522,424857.4148554134,436650.5445345316,พะเยา,0.5673648069345428
2032,3370.4724905667017,40628.33662558859,16975.730286950882,247835.5687625261,112325.52301524335,421135.6311808756,433869.730352379,พะเยา,0.5903234971185698
2033,2848.5904146470484,39876.346384416174,13882.364286944066,244675.4421465961,116131.1042737345,417413.84750633786,431088.91617022635,พะเยา,0.6143927474633422
